"Nom","Adresse","longlat","Voir les spectacles du jour"
"AU COIN DE LA LUNE / QUARTIER LUNA","24 rue Buffon 84000 Avignon","43.9459418 4.81510219999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/au-coin-de-la-lune-quartier-luna-t4718/"
"ENTREPÔT (L') - Cie Mises en Scène","1 TER BOULEVARD CHAMPFLEURY 84000 Avignon","43.9409097 4.80545459999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/entrepot-l-cie-mises-en-scene-t4662/"
"CORPS SAINTS (THÉÂTRE DES)","76 PLACE DES CORPS SAINTS 84000 Avignon","43.9441896 4.80754849999994","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/corps-saints-theatre-des-t4660/"
"KABAROUF & Alchimique Village Circus","Chemin des Canotiers Ile de la Barthelasse 84000 Avignon","43.955686 4.809895","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/kabarouf-alchimique-village-circus-t4734/"
"ATELIER FLORENTIN (THÉÂTRE DE L')","28, rue Guillaume Puy 84000 Avignon","43.948095 4.814506","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/atelier-florentin-theatre-de-l-t4744/"
"SHAM'S THÉÂTRE","25, rue Saint Jean Le Vieux  84000 Avignon","43.9483 4.81075999999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/sham-s-theatre-t4765/"
"CARRETERIE (THÉÂTRE DE LA)","101, rue de la carreterie 84000 Avignon","43.9512127 4.8154783","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/carreterie-theatre-de-la-t4752/"
"LE TOTEM - ART, ENFANCE, JEUNESSE","20 Av Monclar 84000 Avignon","43.939396 4.805782","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/le-totem-art-enfance-jeunesse-t4676/"
"AU BOUT LÀ-BAS (THÉÂTRE)","23, rue Noël Biret 84000 Avignon","43.946109 4.810771","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/au-bout-la-bas-theatre-t4727/"
"ATYPIK THÉÂTRE","72, rue de la Bonneterie 84000 Avignon","43.946364 4.8114223","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/atypik-theatre-t4685/"
"BOURSE DU TRAVAIL CGT (THÉÂTRE DE LA)","8 rue campane 84000 Avignon","43.9500433 4.8122674","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/bourse-du-travail-cgt-theatre-de-la-t4699/"
"ESSAÏON-AVIGNON","33 rue de la Carreterie 84000 Avignon","43.949784 4.812559","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/essaion-avignon-t4669/"
"CABESTAN (THÉÂTRE LE)","11, rue du Collège de la Croix 84000 Avignon","43.946743 4.808684","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/cabestan-theatre-le-t4651/"
"ATELIER  (L') (La Manutention)","4 rue des escaliers Sainte Anne 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/atelier-l-la-manutention-t4783/"
